"cellid","center_x","center_y","slice_id","sample_id","class_label","subclass","label"
2.93923839264382e+38,661.807483583155,-3705.42908628158,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_4"
2.9393839279563e+38,NA,NA,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_2"
2.9394956865419e+38,1869.46421753353,-2991.15518594698,"mouse1_slice71","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.93977178710339e+38,4459.45542647479,-3736.14093460308,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.93998907653321e+38,5575.44586332698,-2788.31480740693,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94001826271628e+38,2160.70879899787,-3323.83044856388,"mouse1_slice71","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94005135793395e+38,3463.68394263049,3394.86546493748,"mouse1_slice91","mouse1_sample2","Other","PVM","PVM"
2.94006018832934e+38,2639.04809972021,2354.27060153972,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_7"
2.94007791962659e+38,894.342371523961,-1897.9953431677,"mouse1_slice71","mouse1_sample2","GABAergic","Lamp5","Lamp5_4"
2.94019193978963e+38,4926.34246027891,-3299.00849864479,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94020854969035e+38,219.841844343463,-2038.32430289367,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
2.94028092524443e+38,-2738.66094825172,3406.67865777155,"mouse1_slice102","mouse1_sample2","Other","Micro","Micro_1"
2.94048939157398e+38,-5730.4287352998,-3319.22135674659,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_1"
2.94074738759634e+38,-5564.78876214677,-2500.87656426856,"mouse1_slice62","mouse1_sample2","Other","VLMC","VLMC"
2.94085561068544e+38,-5565.86372483345,-4736.182632029,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5/6 NP","L56_NP_2"
2.9409015304436e+38,5984.74865304649,-3711.73277699413,"mouse1_slice81","mouse1_sample2","Other","PVM","PVM"
2.94100523471368e+38,3246.87297627661,1301.51435728131,"mouse1_slice91","mouse1_sample2","GABAergic","Lamp5","Lamp5_3"
2.94100896867977e+38,6362.56065532049,-4268.59541688553,"mouse1_slice81","mouse1_sample2","GABAergic","Sst","Sst_6"
2.94112381730326e+38,NA,NA,"mouse1_slice91","mouse1_sample2","Other","OPC","OPC"
2.9412855027375e+38,-1292.13671874678,2943.52565044856,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.9413270576003e+38,6044.02457680303,-2505.54005133738,"mouse1_slice81","mouse1_sample2","GABAergic","Lamp5","Lamp5_6"
2.94150280321839e+38,-5575.39597454768,-3669.94551148663,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_5"
2.94159184923202e+38,-2575.34437205458,3404.46825474489,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_1"
2.94159757022911e+38,762.723163645529,-3096.32462161075,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_4"
2.94173111382621e+38,2717.05838658882,1885.35783432826,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
2.94173448371987e+38,-4459.79812610142,-4785.56045537096,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94178538821361e+38,6070.78501921926,-3450.49546669155,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_4"
2.94212822654229e+38,-1677.86805940386,2765.66626468532,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94214347339235e+38,4664.07709690189,-3686.64904960673,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94230471362453e+38,6343.56073317288,-4083.3307675077,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.94239786359795e+38,3322.43508267341,1217.00636600605,"mouse1_slice91","mouse1_sample2","Other","VLMC","VLMC"
2.94268302318809e+38,5439.74566411214,-3653.97162811155,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
2.94270323281281e+38,-4901.92382668787,-3408.9882878643,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94277645878521e+38,2892.70186356753,2760.24481759588,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 IT Car3","L6_IT_Car3"
2.94282993248804e+38,-1854.71356201179,2645.40531648714,"mouse1_slice102","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_5"
2.94283347433323e+38,6062.62782992418,-2631.81989306764,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.94286066735142e+38,-4996.20185191875,-3137.06414105849,"mouse1_slice62","mouse1_sample2","Other","Peri","Peri"
2.94308475619433e+38,-4897.57337462979,-3630.7352678859,"mouse1_slice62","mouse1_sample2","GABAergic","Pvalb","Pvalb_2"
2.94313291407166e+38,4674.34043450188,2555.49002140317,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94318163686427e+38,5748.71407329232,-2667.66675365425,"mouse1_slice81","mouse1_sample2","Other","SMC","SMC"
2.94385615878236e+38,3098.46047942748,1236.78739207963,"mouse1_slice91","mouse1_sample2","Other","SMC","SMC"
2.94391691941413e+38,810.497871786601,-1723.81074765804,"mouse1_slice71","mouse1_sample2","GABAergic","Pvalb","Pvalb_11"
2.94415754104849e+38,3327.31155081184,3430.3917267064,"mouse1_slice91","mouse1_sample2","Other","Oligo","Oligo_2"
2.94478183897829e+38,5880.94957468458,-4094.45524599294,"mouse1_slice81","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_4"
2.94498693597774e+38,-5277.09500842459,-4807.37656446801,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_4"
2.94520624026496e+38,4538.09531060419,2306.34754210531,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_3"
2.94548354772532e+38,-2631.809924956,2938.57538569356,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
2.9456194636031e+38,3480.21806877325,2935.19957952532,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_3"
2.94564632537666e+38,-3323.9103174647,1141.18029974137,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94601986407432e+38,4922.37408147468,2686.52862972452,"mouse1_slice91","mouse1_sample2","Other","SMC","SMC"
2.94604125149453e+38,2814.74885528217,1501.10915385687,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.94607135816699e+38,770.799488849991,-2977.9005365815,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_4"
2.94609559729188e+38,-2717.63842827265,3373.18850180284,"mouse1_slice102","mouse1_sample2","Other","Oligo","Oligo_1"
2.94609895643272e+38,-1510.89959927917,2855.37766298992,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.94613102244088e+38,-4469.27610430777,-4866.39155306281,"mouse1_slice62","mouse1_sample2","Other","Endo","Endo"
2.94614842423638e+38,-5804.15124584206,-4214.05645712788,"mouse1_slice62","mouse1_sample2","Glutamatergic","L6b","L6b_1"
2.94620552213018e+38,5156.9108413212,-3757.82327970535,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.94621900222459e+38,3964.37844040969,3011.66053703199,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_1"
2.94623559056041e+38,-4235.49501143642,-4404.89871455067,"mouse1_slice62","mouse1_sample2","Other","Micro","Micro_1"
2.94628841314117e+38,4898.79059506641,2745.46617437023,"mouse1_slice91","mouse1_sample2","Other","Astro","Astro_2"
2.94635511792529e+38,-2010.66024228346,1785.94913998237,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.9463713582917e+38,2327.31183147704,-3276.01589883446,"mouse1_slice71","mouse1_sample2","Other","SMC","SMC"
2.94638092339568e+38,-3649.39448392697,2706.57477179374,"mouse1_slice102","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_4"
